book1,book2,prop1,prop2,count,pp1,pp2
McGillLibrary-rbsc_lc_commissioners-adjusting-boundaries_Lande00148_t1-15556,mmoiresdescomm01grea,0.9596491228070175,0.9496527777777778,547,570,576
McGillLibrary-rbsc_lc_commissioners-adjusting-boundaries_Lande00148_t2-15558,mmoiresdescomm02grea,0.9347181008902077,0.9347181008902077,630,674,674
McGillLibrary-rbsc_lc_commissioners-adjusting-boundaries_Lande00148_t3-15559,cihm_36850,0.9051724137931034,0.9,315,348,350
McGillLibrary-rbsc_lc_commissioners-adjusting-boundaries_Lande00148_t4-15560,mmoiredescommi04fran,0.9358059914407989,0.9425287356321839,656,701,696
McGillLibrary-rbsc_lc_considerations-dependencies-britain_Lande00154-15566,cihm_20434,0.9,0.9183673469387755,90,100,98
McGillLibrary-rbsc_lc_considerations-dependencies-britain_Lande00154-15566,considerationson00languoft,0.91,0.91,91,100,100
McGillLibrary-rbsc_lc_examination-of-principles_lande00213-16509,cihm_48642,0.9310344827586207,0.9,108,116,120
McGillLibrary-rbsc_lc_histoire-amerique_Lande00021_v2-15418,histoiredelameri02bacq_0,0.9042553191489362,0.9042553191489362,340,376,376
McGillLibrary-rbsc_lc_histoire-amerique_Lande00021_v3-15419,histoiredelameri03bacq_0,0.9,0.9051724137931034,315,350,348
McGillLibrary-rbsc_lc_histoire-amerique_Lande00021_v4-15420,histoiredelameri04bacq_0,0.9178082191780822,0.9178082191780822,268,292,292
McGillLibrary-rbsc_lc_history-late-war_lande00210-v1-16530,cihm_34807,0.9483747609942639,0.9134438305709024,496,523,543
McGillLibrary-rbsc_lc_history-late-war_lande00210-v4-16532,generalhistoryl00entigoog,0.9246031746031746,0.9529652351738241,466,504,489
McGillLibrary-rbsc_lc_journal-voyage-anglo_Lande00009-t1-16312,journaldunvoyag01unkngoog,0.9025787965616046,0.9025787965616046,315,349,349
McGillLibrary-rbsc_lc_journal-voyage-anglo_Lande00009-t2-16313,cihm_39157,0.9301310043668122,0.9006342494714588,426,458,473
McGillLibrary-rbsc_lc_journal-voyage-anglo_Lande00009-t2-16313,journaldunvoyage01anbu,0.9410480349344978,0.9054621848739496,431,458,476
McGillLibrary-rbsc_lc_relation-du-voyage_Lande00183-15632,relationduvoyage00dire_1,0.9236641221374046,0.9029850746268657,242,262,268
McGillLibrary-rbsc_lc_relation-du-voyage_Lande00184-15634,relationduvoyage00di,0.9227941176470589,0.9094202898550725,251,272,276
McGillLibrary-rbsc_lc_relation-du-voyage_Lande00184-15634,relationduvoyage00dire,0.9227941176470589,0.9094202898550725,251,272,276
McGillLibrary-rbsc_lc_summary-historical-political_Lande00193_v1-15868,cihm_44397,0.9661016949152542,0.9238249594813615,570,590,617
McGillLibrary-rbsc_lc_summary-historical-political_Lande00193_v1-15868,summaryhistorica01dougrich,0.9745762711864406,0.9812286689419796,575,590,586
McGillLibrary-rbsc_philosophical-dictionary_voltaire_octavo1823-15859,philosophicaldi00unkngoog,0.9410112359550562,0.9544159544159544,335,356,351
McGillLibrary-rbsc_philosophical-dictionary_voltaire_octavo1823-15859,philosophicaldi00voltgoog,0.949438202247191,0.9467787114845938,338,356,357
MdUocm06039546,memoirepourlesne00croz,0.925,0.9736842105263158,74,80,76
Michell1760sc82C,jstor-105401,0.92,0.9857142857142858,69,75,70
Michell1760sc82C,philtrans05248731,0.92,0.9857142857142858,69,75,70
MonarchiaSRomaniImperii1668T2,MonarchiaSRomaniImperii1614T2c,0.9279859484777517,0.9077892325315006,1585,1708,1746
MontaignJournVoyag1774goog01,journalduvoyagei01mont,0.9470198675496688,0.9575892857142857,429,453,448
MontaignJournVoyag1774goog02,journalduvoyagei02mont,0.9436392914653784,0.9512987012987013,586,621,616
MontaignJournVoyag1774goog03,journalduvoyaged00mont,0.9094736842105263,0.9113924050632911,432,475,474
MoreriGdDictHist01bnf.pdf,bub_gb_2dwsZ-a40X8C,0.9882352941176471,0.9855595667870036,1092,1105,1108
MoreriGdDictHist02bnf.pdf,gri_33125011181092,0.9891657638136512,0.9838362068965517,913,923,928
MoreriGdDictHist04bnf.pdf,bub_gb_HRN4i2zHVRYC,0.9747327502429544,0.9718992248062015,1003,1029,1032
MoreriGdDictHist04bnf.pdf,gri_33125011180979,0.9922254616132167,0.9855212355212355,1021,1029,1036
MoreriGdDictHist05bnf.pdf,bub_gb_Nj_ML3fir6gC,0.9388127853881278,0.982791586998088,1028,1095,1046
MoreriGdDictHist05bnf.pdf,gri_33125011180912,0.9917808219178083,0.985480943738657,1086,1095,1102
MoreriGdDictHist06bnf.pdf,bub_gb_DPcu4JaPQZ8C,0.9877934272300469,0.9795158286778398,1052,1065,1074
MoreriGdDictHist09bnf.pdf,gri_33125011180672,0.9911268855368234,0.9867491166077739,1117,1127,1132
MoreriGdDictHist10bnf,bub_gb_uB14WHoG8lgC,0.9902629016553067,0.9760076775431862,1017,1027,1042
MoreriGdDictHist10bnf,gri_33125011180615,0.991236611489776,0.9826254826254827,1018,1027,1036
MusaeumFranc.CalceolariIun.Veronensis,bub_gb_GJ1bcfdrZjYC,0.9382716049382716,0.951188986232791,760,810,799
MuseumCalonnianc4Calo,gri_33125010895072,0.9,0.9574468085106383,90,100,94
MuseumWormianum00Worm,gri_museumwormia00worm,0.9339622641509434,0.9145496535796767,396,424,433
OEXV814,OEXV814a,0.966804979253112,0.966804979253112,466,482,482
OvideDeLArtDAymer1558,OvideDeLArtDAymer,0.9230769230769231,0.9230769230769231,216,234,234
QArm2,compendiohistor01varfgoog,0.9137931034482759,0.9013605442176871,265,290,294
QArm2,compendiohistori00diaz,0.9344827586206896,0.928082191780822,271,290,292
ReliquaLibrorumFredericiII1601,ReliquaLibrorumFridericiII1596,0.9343891402714932,0.9343891402714932,413,442,442
RevolFrancaiseAbolEsclavageBNF01,LaRvolutionFrannaiseEtLabolitionDeLesclavageVol.1,0.9064516129032258,0.9064516129032258,281,310,310
RevolFrancaiseAbolEsclavageBNF09,bub_gb_50cUAAAAQAAJ,0.9603960396039604,0.9635761589403974,291,303,302
SermonsDuPereBourdaloueV1,SermonsDuPereBourdaloueV2,0.9791666666666666,0.9631147540983607,470,480,488
SuppleYmentaYlq4Robi,bub_gb_MVV_C3Obka8C,0.9823529411764705,0.9842829076620825,1002,1020,1018
SupplementALaPremierePartieDuCata,bub_gb_7U2be2gNB_gC,0.9117647058823529,0.93,93,102,100
SupplementALaPremierePartieDuCata,bub_gb_QhtIfoeYS6YC,0.9117647058823529,0.93,93,102,100
TheArtOfCookery,b21527568,0.9385474860335196,0.9655172413793104,336,358,348
TheHistoryItalyVol4,historyofitaly04guic,0.973170731707317,0.9684466019417476,399,410,412
TheHistoryOfCardinalAlberoni,historycardinal00missgoog,0.9178571428571428,0.9448529411764706,257,280,272
TheLifeOfStColumba,b28761030,0.9014778325123153,0.905940594059406,183,203,202
TheLifeOfStColumba,lifeofstcolumbaa00smit,0.9064039408866995,0.9108910891089109,184,203,202
ThePresentMethodOfInoculatingForTh,ThePresentMethodOfInoculatingForTheSmallPox.,0.9754601226993865,0.9695121951219512,159,163,164
ThePresentMethodOfInoculatingForTh,ThePresentMethodOfInoculatingForTheSmallPox2ndEd,0.9631901840490797,0.9573170731707317,157,163,164
ThePresentMethodOfInoculatingForTh,ThePresentMethodOfInoculatingForTheSmallPox3rdEd,0.9693251533742331,0.9634146341463414,158,163,164
ThePresentMethodOfInoculatingForTh,ThePresentMethodOfInoculatingForTheSmallPox4thEd,0.9447852760736196,0.9166666666666666,154,163,168
ThePresentMethodOfInoculatingForTheSmallPox.,ThePresentMethodOfInoculatingForTheSmallPox2ndEd,0.975609756097561,0.975609756097561,160,164,164
ThePresentMethodOfInoculatingForTheSmallPox.,ThePresentMethodOfInoculatingForTheSmallPox3rdEd,0.975609756097561,0.975609756097561,160,164,164
ThePresentMethodOfInoculatingForTheSmallPox.,ThePresentMethodOfInoculatingForTheSmallPox4thEd,0.9573170731707317,0.9345238095238095,157,164,168
